city,admin_name,country
Acatlán de Osorio,Puebla,Mexico
Opuwo,Kunene,Namibia
Aldo Bonzi,Buenos Aires,Argentina
Kitagata,Gifu,Japan
Carmelo,Colonia,Uruguay
Melegnano,Lombardy,Italy
Valinda,California,United States
Moulins,Auvergne-Rhône-Alpes,France
Ijevan,Tavush,Armenia
Mont-Saint-Aignan,Normandie,France
Salinas de Hidalgo,San Luis Potosí,Mexico
Calella,Catalonia,Spain
Dayr Abū Ḩinnis,Al Minyā,Egypt
Morwa,Bihār,India
Four Square Mile,Colorado,United States
Mayahaura,West Bengal,India
Hadleigh,Essex,United Kingdom
Mānjha,Bihār,India
Nong Bua Lamphu,Nong Bua Lamphu,Thailand
East Barnet,Barnet,United Kingdom
Columbia Heights,Minnesota,United States
Moston,Manchester,United Kingdom
Schlieren,Zürich,Switzerland
Bozoum,Ouham-Pendé,Central African Republic
Hampton,Richmond upon Thames,United Kingdom
Chennevières-sur-Marne,Île-de-France,France
Viroflay,Île-de-France,France
Tauragė,Tauragė,Lithuania
Highgate,Camden,United Kingdom
Hacıqabul,Hacıqabul,Azerbaijan
North Bellmore,New York,United States
Leicester,Western Area,Sierra Leone
Lennox,California,United States
Colne,Lancashire,United Kingdom
Ghosāi,Bihār,India
Le Pecq,Île-de-France,France
Ymittós,Attikí,Greece
Westbury,Wiltshire,United Kingdom
Nilaiyūr,Tamil Nādu,India
Chemax,Yucatán,Mexico
Maralal,Samburu,Kenya
Clitheroe,Lancashire,United Kingdom
Pully,Vaud,Switzerland
Ghanzi,Ghanzi,Botswana
Virovitica,Virovitičko-Podravska Županija,Croatia
San Francisco,Morazán,El Salvador
Redhill,Surrey,United Kingdom
Bonneuil-sur-Marne,Île-de-France,France
Vauréal,Île-de-France,France
Warminster,Wiltshire,United Kingdom
Harihans,Bihār,India
Senguio,Michoacán,Mexico
Bischheim,Grand Est,France
Canelones,Canelones,Uruguay
Harpur,Bihār,India
Wellington,Somerset,United Kingdom
Malgrat de Mar,Catalonia,Spain
Ukmergė,Ukmergė,Lithuania
Técpan de Galeana,Guerrero,Mexico
Elmwood Park,New Jersey,United States
Santa Lucía,Canelones,Uruguay
Utazu,Kagawa,Japan
Obock,Obock,Djibouti
Pajapan,Veracruz,Mexico
Lealman,Florida,United States
Le Raincy,Île-de-France,France
Mountlake Terrace,Washington,United States
Alajuelita,San José,Costa Rica
Távros,Attikí,Greece
Devizes,Wiltshire,United Kingdom
Écully,Auvergne-Rhône-Alpes,France
Orhei,Orhei,Moldova
Dumri,Bihār,India
Adliswil,Zürich,Switzerland
Sakri,Bihār,India
Wibsey,Bradford,United Kingdom
Murugampālaiyam,Tamil Nādu,India
La Esperanza,Intibucá,Honduras
Dingle,Liverpool,United Kingdom
Boom,Flanders,Belgium
Wolfratshausen,Bavaria,Germany
Horsforth,Leeds,United Kingdom
Ulao,Bihār,India
Al Hamalah,Ash Shamālīyah,Bahrain
Ad Dirāz,Ash Shamālīyah,Bahrain
El Astillero,Cantabria,Spain
El Rosario,Sinaloa,Mexico
McNair,Virginia,United States
Lauālāgaon,Bihār,India
El Dorado,Sinaloa,Mexico
Moreton,Wirral,United Kingdom
Mahisi,Bihār,India
Öndörhaan,Hentiy,Mongolia
Cowley,Oxfordshire,United Kingdom
Néa Erythraía,Attikí,Greece
Bonnyrigg,Midlothian,United Kingdom
Lomita,California,United States
Fern Down,Dorset,United Kingdom
Amdjarass,Ennedi-Est,Chad
Gavarr,Geghark’unik’,Armenia
Quba,Quba,Azerbaijan
Neder-Over-Heembeek,Brussels-Capital Region,Belgium
Mineola,New York,United States
Staines-upon-Thames,Surrey,United Kingdom
Dolores,Soriano,Uruguay
Tadaoka-higashi,Ōsaka,Japan
Dawlish,Devon,United Kingdom
Hyattsville,Maryland,United States
Langley Park,Maryland,United States
Galhinna,Central,Sri Lanka
Basatpur,Bihār,India
Erumāpālaiyam,Tamil Nādu,India
Ostermundigen,Bern,Switzerland
West Hempstead,New York,United States
Rathfarnham,South Dublin,Ireland
Pachmīr,Bihār,India
İsmayıllı,İsmayıllı,Azerbaijan
Ati,Batha,Chad
Nan,Nan,Thailand
New Brighton,Wirral,United Kingdom
Shirley,Croydon,United Kingdom
Cosham,Portsmouth,United Kingdom
Ćuprija,Ćuprija,Serbia
Peraía,Kentrikí Makedonía,Greece
High Blantyre,South Lanarkshire,United Kingdom
Nailsea,North Somerset,United Kingdom
Yasothon,Yasothon,Thailand
Enfield Lock,Enfield,United Kingdom
Cleckheaton,Kirklees,United Kingdom
Mānikpur,Bihār,India
Beinasco,Piedmont,Italy
Gobabis,Omaheke,Namibia
Paso de Carrasco,Canelones,Uruguay
Kokopo,East New Britain,Papua New Guinea
Zaghouan,Zaghouan,Tunisia
Basford,Nottingham,United Kingdom
Bhogpur,Punjab,India
Porthcawl,Bridgend,United Kingdom
Banī Ḩasan ash Shurūq,Al Minyā,Egypt
Ban Rawai,Phuket,Thailand
Bubanza,Bubanza,Burundi
Milton,Stoke-on-Trent,United Kingdom
Les Clayes-sous-Bois,Île-de-France,France
Mālancha,West Bengal,India
Arājpur,Bihār,India
Senta,Senta,Serbia
Keota,Bihār,India
Harpur Pūsa,Bihār,India
Kimwanyi,Wakiso,Uganda
Szigethalom,Pest,Hungary
Hilsea,Portsmouth,United Kingdom
Greystones,Wicklow,Ireland
Eldama Ravine,Baringo,Kenya
Lynbrook,New York,United States
Usmānpur,West Bengal,India
Palisades Park,New Jersey,United States
Łomianki,Mazowieckie,Poland
Floirac,Nouvelle-Aquitaine,France
Zinvié,Atlantique,Benin
Ağsu,Ağsu,Azerbaijan
Ağstafa,Ağstafa,Azerbaijan
Dhobauli,Bihār,India
Kilwinning,North Ayrshire,United Kingdom
Heckmondwike,Kirklees,United Kingdom
Woodhouse,Sheffield,United Kingdom
Luganville,Sanma,Vanuatu
Baikatpur,Bihār,India
Raghudebbati,West Bengal,India
Tyldesley,Wigan,United Kingdom
Lakhnaur,Bihār,India
Comrat,Găgăuzia,Moldova
Pariharpur,Bihār,India
Tecuala,Nayarit,Mexico
San Josecito,Heredia,Costa Rica
Kirkland,Quebec,Canada
La Crescenta-Montrose,California,United States
Maurepas,Île-de-France,France
Upton,Wirral,United Kingdom
Qormi,Qormi,Malta
Haslingden,Lancashire,United Kingdom
Arvayheer,Övörhangay,Mongolia
Ciudad de Huitzuco,Guerrero,Mexico
Biyahmū,Al Fayyūm,Egypt
Tepoztlán,Morelos,Mexico
Tlaxcala,Tlaxcala,Mexico
Kidbrooke,Greenwich,United Kingdom
Santiago Tulantepec,Hidalgo,Mexico
Dokolo,Dokolo,Uganda
Sherrelwood,Colorado,United States
Mohan Eghu,Bihār,India
Mwanza,Mwanza,Malawi
Cattolica,Emilia-Romagna,Italy
Kotsyubyns’ke,"Kyiv, Misto",Ukraine
Nahāzāri,West Bengal,India
San Rafael Arriba,San José,Costa Rica
Maldon,Essex,United Kingdom
Fazakerley,Liverpool,United Kingdom
Morristown,New Jersey,United States
Ulcinj,Ulcinj,Montenegro
Petit-Goâve,Ouest,Haiti
Seacroft,Leeds,United Kingdom
Tidjikja,Tagant,Mauritania
Ciudad Guadalupe Victoria,Durango,Mexico
Albany,California,United States
Mahibadhoo,Ariatholhu Dhekunuburi,Maldives
Leagrave,Luton,United Kingdom
Abdullahnagar,Bihār,India
Rāmpur Jalālpur,Bihār,India
Westmount,Quebec,Canada
Attapu,Attapu,Laos
Fomboni,Mohéli,Comoros
Visaginas,Visaginas,Lithuania
Baguley,Manchester,United Kingdom
Morges,Vaud,Switzerland
Saynshand,Dornogovĭ,Mongolia
Evergreen Park,Illinois,United States
Kapsabet,Nandi,Kenya
Kavieng,New Ireland,Papua New Guinea
Clayton,Bradford,United Kingdom
Kfar Aabîda,Liban-Nord,Lebanon
South El Monte,California,United States
San Isidro,San José,Costa Rica
Kalyānpur Bamaiya,Bihār,India
Wondelgem,Flanders,Belgium
Khusropur,Bihār,India
Shipley,Bradford,United Kingdom
West Wickham,Bromley,United Kingdom
Giria,West Bengal,India
Sligo,Sligo,Ireland
Inírida,Guainía,Colombia
North Amityville,New York,United States
Pupri,Bihār,India
Majītha,Punjab,India
West Drayton,Hillingdon,United Kingdom
Dhamaun,Bihār,India
Néo Psychikó,Attikí,Greece
Sironko,Sironko,Uganda
Ellinikó,Attikí,Greece
Hermosa Beach,California,United States
Ḩawsh al Baḩdalīyah,Rīf Dimashq,Syria
Glanerbrug,Overijssel,Netherlands
Pećinci,Pećinci,Serbia
South San Jose Hills,California,United States
Karahia,Bihār,India
Cárdenas,San Luis Potosí,Mexico
Izamal,Yucatán,Mexico
Larkhall,South Lanarkshire,United Kingdom
Bayshore Gardens,Florida,United States
Lezhë,Lezhë,Albania
Hatch End,Harrow,United Kingdom
Shankar Saraiyā,Bihār,India
Kahhalé,Mont-Liban,Lebanon
Ajā,Ad Daqahlīyah,Egypt
Hednesford,Staffordshire,United Kingdom
Deysbrook,Liverpool,United Kingdom
Telavi,K’akheti,Georgia
La Crucecita,Oaxaca,Mexico
Korem,Tigray,Ethiopia
Whickham,Gateshead,United Kingdom
Noisiel,Île-de-France,France
Moroto,Moroto,Uganda
Herceg Novi,Herceg Novi,Montenegro
Baharu,West Bengal,India
Lons-le-Saunier,Bourgogne-Franche-Comté,France
Seabrook,Maryland,United States
Bredbury,Stockport,United Kingdom
Baildon,Bradford,United Kingdom
La Cruz,Sinaloa,Mexico
Mau Dhaneshpur,Bihār,India
Brookfield,Illinois,United States
Montmagny,Île-de-France,France
Hawthorne,New Jersey,United States
Mont-Royal,Quebec,Canada
Raiyam,Bihār,India
Ágios Ioánnis Réntis,Attikí,Greece
Solothurn,Solothurn,Switzerland
Kamwenge,Kamwenge,Uganda
Baro,Bihār,India
Sweetwater,Florida,United States
Cheam,Sutton,United Kingdom
Ferndale,Michigan,United States
Grajales,Puebla,Mexico
Laï,Tandjilé,Chad
Netherton,Dudley,United Kingdom
Saltash,Cornwall,United Kingdom
Budva,Budva,Montenegro
Canovellas,Catalonia,Spain
West Derby,Liverpool,United Kingdom
Arnouville-lès-Gonesse,Île-de-France,France
Macas,Morona-Santiago,Ecuador
Partick,Glasgow City,United Kingdom
Mālhīpur,Bihār,India
Tillabéri,Tillabéri,Niger
Akassato,Atlantique,Benin
South Hayling,Hampshire,United Kingdom
Mukhtārpur Salkani,Bihār,India
Ban Houayxay,Bokèo,Laos
Kisoro,Kisoro,Uganda
Scarborough,Tobago,Trinidad and Tobago
Brusciano,Campania,Italy
Clifton,York,United Kingdom
Jagdispur,West Bengal,India
Pemberton,Wigan,United Kingdom
Johnstone,Renfrewshire,United Kingdom
Octeville,Normandie,France
Hargāwān,Bihār,India
Morriston,Swansea,United Kingdom
Əhmədli,Bakı,Azerbaijan
Kulhudhuffushi,Thiladhunmathee Dhekunuburi,Maldives
Ramnagar,West Bengal,India
Saint-Leu-la-Forêt,Île-de-France,France
Carrigaline,Cork,Ireland
Binningen,Basel-Landschaft,Switzerland
Mariana,Quezon,Philippines
Jouy-le-Moutier,Île-de-France,France
Sant’Arpino,Campania,Italy
Pljevlja,Pljevlja,Montenegro
Royston,Hertfordshire,United Kingdom
Addlestone,Surrey,United Kingdom
Buikwe,Buikwe,Uganda
Saint-Jean-de-la-Ruelle,Centre-Val de Loire,France
Kundal,Bihār,India
Le Vésinet,Île-de-France,France
Albal,Valencia,Spain
Bububu,Zanzibar Urban/West,Tanzania
Barharwa Kalān,Bihār,India
Kelandis,Bali,Indonesia
Hendaye,Nouvelle-Aquitaine,France
Young,Río Negro,Uruguay
Brackley,Northamptonshire,United Kingdom
Winthrop,Massachusetts,United States
Merrifield,Virginia,United States
Kawai,Nara,Japan
Tlaltetela,Veracruz,Mexico
Dhūmnagar,Bihār,India
Ribeira Grande,Ribeira Grande,Cabo Verde
Mao,Kanem,Chad
Braunstone,Leicestershire,United Kingdom
Jaypul,West Bengal,India
East Massapequa,New York,United States
Cedar Mill,Oregon,United States
Norwood,Ohio,United States
Lagawe,Ifugao,Philippines
Carrières-sous-Poissy,Île-de-France,France
Meddappakkam,Tamil Nādu,India
Tengampudūr,Tamil Nādu,India
Hazel Grove,Stockport,United Kingdom
Marly-le-Roi,Île-de-France,France
Loreto,Baja California Sur,Mexico
Hūn,Al Jufrah,Libya
Kédougou,Kédougou,Senegal
Ambohidrapeto,Antananarivo,Madagascar
Oteapan,Veracruz,Mexico
Bou Djeniba,Béni Mellal-Khénifra,Morocco
Wallisellen,Zürich,Switzerland
Gopālnagar,West Bengal,India
Puréparo de Echaíz,Michoacán,Mexico
Masamagrell,Valencia,Spain
Point Pleasant,New Jersey,United States
Huixcolotla,Puebla,Mexico
Greenfield,California,United States
Itāhri,Bihār,India
Mansa Konko,Lower River,The Gambia
Harrison,New Jersey,United States
Wombwell,Barnsley,United Kingdom
Härnösand,Västernorrland,Sweden
Prestwick,South Ayrshire,United Kingdom
Lelydorp,Wanica,Suriname
Jwaneng,Jwaneng,Botswana
Rutherford,New Jersey,United States
Bellwood,Illinois,United States
Clonmel,Tipperary,Ireland
North Babylon,New York,United States
Pedreiras,Maranhão,Brazil
Buckley,Flintshire,United Kingdom
Yiewsley,Hillingdon,United Kingdom
The Mumbles,Swansea,United Kingdom
Mangrauni,Bihār,India
Vicente Guerrero,Durango,Mexico
Hostomel,Kyivska Oblast,Ukraine
Pālda,Madhya Pradesh,India
Cerritos,San Luis Potosí,Mexico
Banstead,Surrey,United Kingdom
Juchique de Ferrer,Veracruz,Mexico
Whittlesey,Cambridgeshire,United Kingdom
Siyəzən,Siyəzən,Azerbaijan
Ōyamazaki,Kyōto,Japan
Ptuj,Ptuj,Slovenia
Bromborough,Wirral,United Kingdom
Verwood,Dorset,United Kingdom
Chertsey,Surrey,United Kingdom
Leposaviq,Leposaviq,Kosovo
Country Walk,Florida,United States
Sudley,Virginia,United States
Lognes,Île-de-France,France
Basse Santa Su,Upper River,The Gambia
West Chester,Pennsylvania,United States
North Massapequa,New York,United States
Hythe,Kent,United Kingdom
Melksham,Wiltshire,United Kingdom
Progreso,Canelones,Uruguay
Tarrafal,Tarrafal,Cabo Verde
Tsetserleg,Arhangay,Mongolia
Biały Kamień,Dolnośląskie,Poland
Casandrino,Campania,Italy
Rwamagana,Eastern Province,Rwanda
Goulmima,Drâa-Tafilalet,Morocco
Arenys de Mar,Catalonia,Spain
North Bay Shore,New York,United States
Lansdale,Pennsylvania,United States
Acasusso,Buenos Aires,Argentina
Mésa Geitoniá,Lemesós,Cyprus
Straşeni,Străşeni,Moldova
Kanhauli Manohar,Bihār,India
Singhwara,Bihār,India
Pendlebury,Salford,United Kingdom
Dover,New Jersey,United States
Hybla Valley,Virginia,United States
Nantwich,Cheshire East,United Kingdom
Santa Rosalía,Baja California Sur,Mexico
Garhpura,Bihār,India
Mayuge,Mayuge,Uganda
Kingstowne,Virginia,United States
Péfka,Kentrikí Makedonía,Greece
Beausoleil,Provence-Alpes-Côte d’Azur,France
Palanga,Palangos Miestas,Lithuania
North Valley Stream,New York,United States
Amblecote,Dudley,United Kingdom
Montargis,Centre-Val de Loire,France
Ermúa,Basque Country,Spain
Churriana de la Vega,Andalusia,Spain
Bidston,Wirral,United Kingdom
Żabbar,Żabbar,Malta
Franconia,Virginia,United States
Toyoyama,Aichi,Japan
Pūluvappatti,Tamil Nādu,India
Schofield Barracks,Hawaii,United States
Gornalwood,Dudley,United Kingdom
Billapādu,Andhra Pradesh,India
San Fernando,Chiapas,Mexico
Lymington,Hampshire,United Kingdom
Sangre Grande,Sangre Grande,Trinidad and Tobago
Xaignabouli,Xaignabouli,Laos
Eilendorf,North Rhine-Westphalia,Germany
Hessle,East Riding of Yorkshire,United Kingdom
Filadelfia,Boquerón,Paraguay
Carrières-sur-Seine,Île-de-France,France
Sidi Zouine,Marrakech-Safi,Morocco
Llantrisant,Rhondda Cynon Taff,United Kingdom
Rosyth,Fife,United Kingdom
Le Hochet,Pamplemousses,Mauritius
Lyantonde,Lyantonde,Uganda
Tarxien,Tarxien,Malta
Prachin Buri,Prachin Buri,Thailand
Hasanpur Juned,Bihār,India
Rock Ferry,Wirral,United Kingdom
Erongarícuaro,Michoacán,Mexico
Salaspils,Salaspils,Latvia
Petite-Synthe,Hauts-de-France,France
Saffron Walden,Essex,United Kingdom
Dogāchi,West Bengal,India
Bois-d’Arcy,Île-de-France,France
Suchindram,Tamil Nādu,India
Sing Buri,Sing Buri,Thailand
Barton upon Irwell,Salford,United Kingdom
Burke Centre,Virginia,United States
Ait Yaazem,Fès-Meknès,Morocco
Bostonia,California,United States
Sainte-Marthe-sur-le-Lac,Quebec,Canada
Torit,Eastern Equatoria,South Sudan
Vynnyky,Lvivska Oblast,Ukraine
Thornbury,South Gloucestershire,United Kingdom
Madera,Chihuahua,Mexico
Tunapuna,Tunapuna/Piarco,Trinidad and Tobago
Eppelheim,Baden-Württemberg,Germany
South Orange Village,New Jersey,United States
Porto Novo,Porto Novo,Cabo Verde
Prilly,Vaud,Switzerland
Gines,Andalusia,Spain
Tanakkangulam,Tamil Nādu,India
Viljandi,Viljandi,Estonia
Roosevelt,New York,United States
Orange Walk,Orange Walk,Belize
Stapleford,Nottinghamshire,United Kingdom
Saatlı,Saatlı,Azerbaijan
Lākho,Bihār,India
Redruth,Cornwall,United Kingdom
Lucé,Centre-Val de Loire,France
Mārupe,Mārupe,Latvia
Dumont,New Jersey,United States
San Pablo Atlazalpan,México,Mexico
Perivale,Ealing,United Kingdom
Tabernes Blanques,Valencia,Spain
Puerto Ayora,Galápagos,Ecuador
Enghien-les-Bains,Île-de-France,France
Sa Kaeo,Sa Kaeo,Thailand
Kidlington,Oxfordshire,United Kingdom
Gundūr,Tamil Nādu,India
Ngora,Ngora,Uganda
Huitzilan,Puebla,Mexico
Villa Unión,Sinaloa,Mexico
Valparaíso,Zacatecas,Mexico
Papágos,Attikí,Greece
Timperley,Trafford,United Kingdom
Armthorpe,Doncaster,United Kingdom
Baynāla,West Bengal,India
Al Mālikīyah,Ash Shamālīyah,Bahrain
Little Hulton,Salford,United Kingdom
Puttalam,Tamil Nādu,India
Lys-lès-Lannoy,Hauts-de-France,France
Sidlice,Pomorskie,Poland
Thônex,Genève,Switzerland
Valbom,Porto,Portugal
Khaşab,Musandam,Oman
Anosy Avaratra,Antananarivo,Madagascar
Kenley,Croydon,United Kingdom
Rottingdean,Brighton and Hove,United Kingdom
Marlow,Buckinghamshire,United Kingdom
Brierley Hill,Dudley,United Kingdom
Whitby,North Yorkshire,United Kingdom
Juan Aldama,Zacatecas,Mexico
Brownsville,Florida,United States
Swinton,Rotherham,United Kingdom
Sāsan,Bihār,India
Kukës,Kukës,Albania
Hiệp Hòa,Đồng Nai,Vietnam
Pathum Thani,Pathum Thani,Thailand
Harrow Weald,Harrow,United Kingdom
Ezequiel Montes,Querétaro,Mexico
Idylwood,Virginia,United States
Valenton,Île-de-France,France
Iselin,New Jersey,United States
Esquimalt,British Columbia,Canada
Sha Kok Mei,,Hong Kong
Wanstead,Redbridge,United Kingdom
La Llagosta,Catalonia,Spain
Kaliro,Kaliro,Uganda
Guachochi,Chihuahua,Mexico
Tak,Tak,Thailand
Balaungi,Punjab,India
Bryn Mawr-Skyway,Washington,United States
Rustington,West Sussex,United Kingdom
Kamrāwān,Bihār,India
Takoma Park,Maryland,United States
Babhani Bholwa,Bihār,India
Rossington,Doncaster,United Kingdom
Sudbury,Ealing,United Kingdom
Füzuli,Füzuli,Azerbaijan
Phayao,Phayao,Thailand
Fatehpur,Bihār,India
Ilkley,Bradford,United Kingdom
Deux-Montagnes,Quebec,Canada
Saint-Brice-sous-Forêt,Île-de-France,France
Miahuatlán,Puebla,Mexico
Haubourdin,Hauts-de-France,France
Manafwa,Manafwa,Uganda
Longwy,Grand Est,France
Ovenden,Calderdale,United Kingdom
Breyten,Mpumalanga,South Africa
Lowton,Wigan,United Kingdom
Patcham,Brighton and Hove,United Kingdom
Canet de Mar,Catalonia,Spain
Guerrero Negro,Baja California Sur,Mexico
Childwall,Liverpool,United Kingdom
Wattignies,Hauts-de-France,France
Shenley Church End,Milton Keynes,United Kingdom
Busembatia,Bugweri,Uganda
Chāndi,Bihār,India
Glassmanor,Maryland,United States
Plungė,Plungė,Lithuania
Belsandi Tāra,Bihār,India
Matam,Matam,Senegal
Rāje,Bihār,India
Newport Pagnell,Milton Keynes,United Kingdom
Tân Vạn,Bình Dương,Vietnam
Wahiawa,Hawaii,United States
San Ġwann,San Ġwann,Malta
Mugalivakkam,Tamil Nādu,India
Saint-André,Hauts-de-France,France
Ijra,Bihār,India
Birqāsh,Al Jīzah,Egypt
Shiremoor,North Tyneside,United Kingdom
Boskoop,Zuid-Holland,Netherlands
Marsabit,Marsabit,Kenya
Udelnaya,Moskovskaya Oblast’,Russia
Djambala,Plateaux,Congo (Brazzaville)
Woodmere,New York,United States
Bellaire,Texas,United States
San Nicolás de los Ranchos,Puebla,Mexico
Tabhka Khās,Bihār,India
Illizi,Illizi,Algeria
Kretinga,Kretinga,Lithuania
Petersfield,Hampshire,United Kingdom
Trstenik,Trstenik,Serbia
Chaddesden,Derby,United Kingdom
Anta,Aveiro,Portugal
Calkiní,Campeche,Mexico
Bhatranha,Bihār,India
Avon,Île-de-France,France
Tirumalaiyampālaiyam,Tamil Nādu,India
Marib,Ma’rib,Yemen
Massapequa Park,New York,United States
Rive-de-Gier,Auvergne-Rhône-Alpes,France
Vicente Guerrero,Baja California,Mexico
Egg Buckland,Plymouth,United Kingdom
Ermita,Manila,Philippines
East Riverdale,Maryland,United States
Tempoal de Sánchez,Veracruz,Mexico
Primrose,Gauteng,South Africa
Pinewood,Florida,United States
Nacozari de García,Sonora,Mexico
Prescot,Knowsley,United Kingdom
El Parral,Chiapas,Mexico
Hillcrest Heights,Maryland,United States
Manassas Park,Virginia,United States
Makokou,Ogooué-Ivindo,Gabon
Mexicaltzingo,México,Mexico
Lodwar,Turkana,Kenya
Montesson,Île-de-France,France
Neubiberg,Bavaria,Germany
Shirebrook,Derbyshire,United Kingdom
West Boldon,South Tyneside,United Kingdom
Āndipālaiyam,Tamil Nādu,India
San Ignacio,Cayo,Belize
Anzin,Hauts-de-France,France
Adelphi,Maryland,United States
Fraserburgh,Aberdeenshire,United Kingdom
Arbon,Thurgau,Switzerland
Ntungamo,Ntungamo,Uganda
Cachoeira Alta,Goiás,Brazil
Beur,Bihār,India
New Milford,New Jersey,United States
Clayton,Missouri,United States
Sāhit,Bihār,India
Ramonville-Saint-Agne,Occitanie,France
Walsall Wood,Walsall,United Kingdom
Phrae,Phrae,Thailand
Keetmanshoop,//Karas,Namibia
Bodmin,Cornwall,United Kingdom
Astara,Astara,Azerbaijan
Bommayapālaiyam,Tamil Nādu,India
Mollerusa,Catalonia,Spain
Hollinwood,Oldham,United Kingdom
Zveçan,Zveçan,Kosovo
Streetly,Walsall,United Kingdom
Oulad Hamdane,Béni Mellal-Khénifra,Morocco
Spitalfields,Tower Hamlets,United Kingdom
Wollaston,Dudley,United Kingdom
Puerto Carreño,Vichada,Colombia
Aylestone,Leicester,United Kingdom
Perumbakkam,Tamil Nādu,India
L’Ancienne-Lorette,Quebec,Canada
Ogíjares,Andalusia,Spain
Pueblo Nuevo,Chiapas,Mexico
Tukums,Tukums,Latvia
Bull Run,Virginia,United States
Conisbrough,Doncaster,United Kingdom
Struga,Struga,Macedonia
Dayālpur Sāpha,Bihār,India
Ocean Pointe,Hawaii,United States
Greenville,Sinoe,Liberia
Fort Bonifacio,Makati,Philippines
Caerfyrddin,Carmarthenshire,United Kingdom
Thorpe Saint Andrew,Norfolk,United Kingdom
Palmetto Estates,Florida,United States
Elesbão Veloso,Piauí,Brazil
Four Corners,Oregon,United States
San Juan Bautista,Misiones,Paraguay
Bellmore,New York,United States
Manappakkam,Tamil Nādu,India
Nalambūr,Tamil Nādu,India
Courcouronnes,Île-de-France,France
Sendafa,Oromīya,Ethiopia
Qusar,Qusar,Azerbaijan
Santa Cruz Amilpas,Oaxaca,Mexico
San Miguel Xoxtla,Puebla,Mexico
Hawick,Scottish Borders,United Kingdom
Ojus,Florida,United States
Mongat,Catalonia,Spain
Narhan,Bihār,India
Wolverton,Milton Keynes,United Kingdom
Jamira,Bihār,India
Linlithgow,West Lothian,United Kingdom
Walnut Park,California,United States
Burslem,Stoke-on-Trent,United Kingdom
Bordj Mokhtar,Bordj Badji Mokhtar,Algeria
Broadwater,West Sussex,United Kingdom
Vengavasal,Tamil Nādu,India
Mariakerke,Flanders,Belgium
Janāi,West Bengal,India
Castellanza,Lombardy,Italy
Persan,Île-de-France,France
Hall in Tirol,Tirol,Austria
Tamarakulam,Tamil Nādu,India
Vincent,California,United States
Ranong,Ranong,Thailand
Artesia,California,United States
Milford Haven,Pembrokeshire,United Kingdom
Anenecuilco,Morelos,Mexico
Senglea,Isla,Malta
Rakvere,Rakvere,Estonia
Moussoro,Barh-El-Gazel,Chad
Mahikeng,North West,South Africa
Srbobran,Srbobran,Serbia
Aldama,Tamaulipas,Mexico
South Houston,Texas,United States
Daharia,Bihār,India
Altamirano,Chiapas,Mexico
North Arlington,New Jersey,United States
Stanford,California,United States
Gopālpur,Bihār,India
Baranzate,Lombardy,Italy
Mouvaux,Hauts-de-France,France
Nakhon Nayok,Nakhon Nayok,Thailand
Chojnów,Dolnośląskie,Poland
Balaxanı,Bakı,Azerbaijan
Sedgley,Dudley,United Kingdom
Solaro,Lombardy,Italy
Southborough,Kent,United Kingdom
Kotwāpatti Rāmpur,Bihār,India
Massakory,Hadjer-Lamis,Chad
Naama,Naama,Algeria
Morangis,Île-de-France,France
Kiratpur Rājārām,Bihār,India
Šilutė,Šilutė,Lithuania
Kabugao,Apayao,Philippines
Koulamoutou,Ogooué-Lolo,Gabon
La Grange,Illinois,United States
Varedo,Lombardy,Italy
Barwat Pasrāin,Bihār,India
Weehawken,New Jersey,United States
Minehead,Somerset,United Kingdom
Bačka Topola,Bačka Topola,Serbia
Auray,Bretagne,France
Monte di Procida,Campania,Italy
Bāhāgalpur,West Bengal,India
Floral Park,New York,United States
Muragācha,West Bengal,India
Bacalar,Quintana Roo,Mexico
Coseley,Dudley,United Kingdom
Chard,Somerset,United Kingdom
Buckingham,Buckinghamshire,United Kingdom
Tullamore,Offaly,Ireland
Kerugoya,Kirinyaga,Kenya
Kinkala,Pool,Congo (Brazzaville)
Lomma,Skåne,Sweden
Bela,Bihār,India
Sutton on Hull,"Kingston upon Hull, City of",United Kingdom
Parkway,California,United States
South River,New Jersey,United States
Ottaikkālmantapam,Tamil Nādu,India
Arpajon,Île-de-France,France
Wezembeek-Oppem,Flanders,Belgium
Al Ḩazm,Al Jawf,Yemen
Ālampur Gonpura,Bihār,India
Kraainem,Flanders,Belgium
Midsomer Norton,Bath and North East Somerset,United Kingdom
Simri,Bihār,India
Belwāra,Bihār,India
Milngavie,East Dunbartonshire,United Kingdom
Ascensión,Chihuahua,Mexico
Fleury-Mérogis,Île-de-France,France
Ángel R. Cabada,Veracruz,Mexico
Montévrain,Île-de-France,France
Căuşeni,Căuşeni,Moldova
Corsham,Wiltshire,United Kingdom
Chhapra,Bihār,India
Fontenay-le-Fleury,Île-de-France,France
Alotau,Milne Bay,Papua New Guinea
Southwick,West Sussex,United Kingdom
Lye,Dudley,United Kingdom
Villa Corzo,Chiapas,Mexico
Barentu,Gash-Barka,Eritrea
Ayodhyāpattanam,Tamil Nādu,India
Bijelo Polje,Bijelo Polje,Montenegro
Anadyr,Chukotskiy Avtonomnyy Okrug,Russia
Thatto Heath,St. Helens,United Kingdom
Parihāra,Bihār,India
Maliana,Bobonaro,Timor-Leste
Ericeira,Lisboa,Portugal
Richmond,Tasman,New Zealand
Tenango del Aire,México,Mexico
Aleg,Brakna,Mauritania
Parihārpur,Bihār,India
